GMT_0000_PAR,GMT_0300_PAR,GMT_0600_PAR,GMT_0900_PAR,GMT_1200_PAR,GMT_1500_PAR,GMT_1800_PAR,GMT_2100_PAR,DAPAR,PDVI,MPAR,APAR,PPDI,PAI,density_mean,density_lower,density_upper,date
172.28897094726562,388.8114013671875,342.1716003417969,81.7225570678711,0.0,0.0,0.0,0.0,984.9945297241211,388811401.3671875,34.12098269992404,0.0,0.375,-0.999999998984766,22490972.222222224,21369416.666666664,23612527.777777776,2023-08-26
166.081787109375,378.67718505859375,327.92083740234375,77.34527587890625,0.0,0.0,0.0,0.0,950.0250854492188,378677185.05859375,33.4813232421875,0.0,0.375,-0.9999999989473962,22244444.444444444,21177333.333333332,23311555.555555552,2023-08-27
81.96875762939453,201.98928833007812,52.42233657836914,11.70073127746582,0.0,0.0,0.0,0.0,348.0811138153076,201989288.33007812,21.14317300584581,0.0,0.375,-0.9999999971271064,21997916.666666664,20985250.0,23010583.333333332,2023-08-28
61.96267318725586,153.24267578125,42.13536834716797,9.323833465576172,0.0,0.0,0.0,0.0,266.66455078125,153242675.78125,15.990982479519314,0.0,0.375,-0.9999999962499703,21751388.888888888,20793166.666666664,22709611.111111112,2023-08-29
17.843671798706055,44.23970031738281,38.39794921875,8.421443939208984,0.0,0.0,0.0,0.0,108.90276527404785,44239700.31738281,3.9798062642415366,0.0,0.375,-0.9999999908174968,21504861.111111112,20601083.333333332,22408638.888888888,2023-08-30
101.46857452392578,253.1751708984375,147.53944396972656,31.952102661132812,0.0,0.0,0.0,0.0,534.1352920532227,253175170.8984375,24.580340915256077,0.0,0.375,-0.9999999981278151,21258333.333333332,20409000.0,22107666.666666664,2023-08-31
186.28443908691406,404.3525695800781,367.0735168457031,95.03474426269531,0.0,0.0,0.0,0.0,1052.7452697753906,404352569.5800781,34.36864725748698,0.0,0.375,-0.9999999990501025,21011805.555555556,20216916.666666664,21806694.444444444,2023-09-01
182.08766174316406,400.1763916015625,367.25860595703125,93.77422332763672,0.0,0.0,0.0,0.0,1043.2968826293945,400176391.6015625,34.04468536376953,0.0,0.375,-0.9999999990414999,20765277.777777776,20024833.333333332,21505722.22222222,2023-09-02
124.672119140625,311.7792663574219,350.356201171875,82.82896423339844,0.0,0.0,0.0,0.0,869.6365509033203,350356201.171875,29.72524854871962,0.0,0.375,-0.9999999988500944,20518750.0,19832750.0,21204750.0,2023-09-03
164.636962890625,382.3028259277344,362.8526611328125,89.75286865234375,0.0,0.0,0.0,0.0,999.5453186035156,382302825.9277344,32.50555080837674,0.0,0.375,-0.9999999989995452,20272222.222222224,19640666.666666664,20903777.777777776,2023-09-04
28.627643585205078,72.93655395507812,200.92446899414062,41.32701873779297,0.0,0.0,0.0,0.0,343.8156852722168,200924468.99414062,19.14409171210395,0.0,0.25,-0.9999999970914649,20025694.444444444,19448583.333333332,20602805.555555552,2023-09-05
195.44992065429688,412.8354187011719,341.9241943359375,76.49431610107422,0.0,0.0,0.0,0.0,1026.7038497924805,412835418.7011719,37.37123362223307,0.0,0.375,-0.9999999990260092,19779166.666666664,19256500.0,20301833.333333332,2023-09-06
169.4718475341797,388.8084716796875,356.739501953125,84.00626373291016,0.0,0.0,0.0,0.0,999.0260848999023,388808471.6796875,33.86691199408637,0.0,0.375,-0.9999999989990251,19532638.888888888,19064416.666666664,20000861.111111112,2023-09-07
176.9984588623047,396.09527587890625,363.46575927734375,89.87251281738281,0.0,0.0,0.0,0.0,1026.4320068359375,396095275.87890625,34.02475145128038,0.0,0.375,-0.9999999990257512,19286111.111111112,18872333.333333332,19699888.888888888,2023-09-08
176.82310485839844,396.2435607910156,358.0572509765625,84.4134521484375,0.0,0.0,0.0,0.0,1015.5373687744141,396243560.7910156,34.647789849175346,0.0,0.375,-0.9999999990152997,19039583.333333336,18680250.0,19398916.666666664,2023-09-09
166.355712890625,385.44854736328125,341.8153381347656,74.09063720703125,0.0,0.0,0.0,0.0,967.7102355957031,385448547.36328125,34.59532335069444,0.0,0.375,-0.9999999989666328,18793055.555555556,18488166.666666664,19097944.444444444,2023-09-10
116.20555877685547,301.43487548828125,311.50830078125,61.59354019165039,0.0,0.0,0.0,0.0,790.7422752380371,311508300.78125,27.768306732177734,0.0,0.375,-0.9999999987353655,18546527.777777776,18296083.333333332,18796972.222222224,2023-09-11
33.11216354370117,87.1532211303711,138.90362548828125,26.25096893310547,0.0,0.0,0.0,0.0,285.419979095459,138903625.48828125,12.516961839463976,0.0,0.25,-0.999999996496391,18300000.0,18104000.0,18496000.0,2023-09-12
15.160861015319824,40.05077362060547,62.656620025634766,11.71413803100586,0.0,0.0,0.0,0.0,129.58239269256592,62656620.025634766,5.660275777180989,0.0,0.25,-0.9999999922829023,19166666.666666668,18577216.60281242,19756116.730520915,2023-09-13
79.40609741210938,211.49989318847656,33.61603927612305,6.206533908843994,0.0,0.0,0.0,0.0,330.728563785553,211499893.18847656,22.810373253292507,0.0,0.25,-0.9999999969763724,18816666.666666668,18710311.705438815,18923021.62789452,2023-09-14
44.54481887817383,118.95355224609375,104.7842025756836,19.040111541748047,0.0,0.0,0.0,0.0,287.3226852416992,118953552.24609375,11.101493411593967,0.0,0.375,-0.9999999965195926,18533333.333333332,17989063.138995588,19077603.527671076,2023-09-15
14.677971839904785,39.32487869262695,264.6240539550781,47.72359848022461,0.0,0.0,0.0,0.0,366.3505029678345,264624053.95507812,27.77178690168593,0.0,0.25,-0.9999999972703736,19800000.0,17504204.8871905,22095795.1128095,2023-09-16
141.3328399658203,356.34423828125,340.7289733886719,69.88136291503906,0.0,0.0,0.0,0.0,908.2874145507812,356344238.28125,31.829208374023438,0.0,0.375,-0.9999999988990269,17360000.0,15768171.064467039,18951828.93553296,2023-09-17
171.25843811035156,388.54998779296875,336.7560729980469,67.09231567382812,0.0,0.0,0.0,0.0,963.6568145751953,388549987.79296875,35.71751912434896,0.0,0.375,-0.9999999989622862,19983333.333333332,18373095.28329918,21593571.383367483,2023-09-18
106.22737121582031,287.5783386230469,293.3218688964844,54.67881393432617,0.0,0.0,0.0,0.0,741.8063926696777,293321868.8964844,26.515894995795357,0.0,0.375,-0.9999999986519393,20150000.0,18997371.120727345,21302628.879272655,2023-09-19
40.77123260498047,111.66380310058594,33.61796569824219,5.677323341369629,0.0,0.0,0.0,0.0,191.73032474517822,111663803.10058594,11.776275528801811,0.0,0.375,-0.999999994784341,20320000.0,19614944.654654685,21025055.345345315,2023-09-20
33.5264778137207,92.28580474853516,58.12383270263672,9.649250030517578,0.0,0.0,0.0,0.0,193.58536529541016,92285804.74853516,9.181839413113064,0.0,0.375,-0.9999999948343203,26013333.333333332,25331592.240288466,26695074.4263782,2023-09-21
13.585700988769531,37.574058532714844,56.92100524902344,9.284733772277832,0.0,0.0,0.0,0.0,117.36549854278564,56921005.24902344,5.292919052971734,0.0,0.25,-0.9999999914796086,31706666.666666664,31048239.825922247,32365093.507411085,2023-09-22
29.878067016601562,83.18563079833984,31.394378662109375,5.0379228591918945,0.0,0.0,0.0,0.0,149.49599933624268,83185630.79833984,8.683078659905327,0.0,0.375,-0.9999999933108579,37400000.0,36764887.41155603,38035112.58844397,2023-09-23
19.860776901245117,55.59103012084961,100.79109191894531,15.836536407470703,0.0,0.0,0.0,0.0,192.07943534851074,100791091.91894531,9.439395056830513,0.0,0.25,-0.9999999947938206,38583333.333333336,38196540.13564525,38970126.53102142,2023-09-24
