date,GMT_0000_PAR,GMT_0300_PAR,GMT_0600_PAR,GMT_0900_PAR,GMT_1200_PAR,GMT_1500_PAR,GMT_1800_PAR,GMT_2100_PAR,DAPAR,PDVI,MPAR,APAR,PPDI,PAI,density_mean,density_lower,density_upper,temperature,pH,oxygen,permanganate,NH,TP,TN,conductivity,turbidity,chla,density
2022-11-28,20.607311248779297,91.66219329833984,17.82668113708496,0.1642065644264221,0.0,0.0,0.0,0.0,130.26039224863052,91662193.29833984,10.166442970434824,0.0,0.375,-0.9999999923230696,25233333.33333333,24748808.36550975,25717858.30115692,16.91,8.344,10.487,3.895,0.025,0.0584,0.563,420.247,25.543,0.00974,24800000.0
2022-11-29,4.964371204376221,22.193260192871094,18.675127029418945,0.1413154006004333,0.0,0.0,0.0,0.0,45.97407382726669,22193260.192871094,2.450216088030073,0.0,0.25,-0.9999999782486108,24966666.666666668,23365000.31217485,26568333.021158487,17.23,8.273,10.111,3.692,0.025,0.0569,0.532,423.369,20.144,0.00876,26700000.0
2022-11-30,4.759950160980225,21.4373836517334,30.288448333740234,0.1790691763162613,0.0,0.0,0.0,0.0,56.66485132277012,30288448.333740234,3.345486573047108,0.0,0.25,-0.9999999823523762,18216666.666666668,15849245.922950463,20584087.41038287,14.54,7.832,10.144,4.886,0.025,0.141,1.029,433.477,159.312,0.00849,22400000.0
2022-12-01,15.155301094055176,68.84683990478516,20.21566390991211,0.090337797999382,0.0,0.0,0.0,0.0,104.30814270675182,68846839.90478516,7.63961134519842,0.0,0.375,-0.9999999904130208,13983333.333333334,13425698.88517058,14540967.781496087,11.41,7.716,11.194,3.858,0.025,0.1539,1.402,458.98,148.984,0.00568,15000000.0
2022-12-02,9.45981788635254,43.19688415527344,34.00663757324219,0.1008208394050598,0.0,0.0,0.0,0.0,86.76416045427322,43196884.15527344,4.788451479540931,0.0,0.25,-0.999999988474504,13550000.0,12817071.80888348,14282928.19111652,9.97,7.712,11.57,2.905,0.025,0.0844,1.434,453.65,72.706,0.0036,12400000.0
2022-12-03,14.727083206176758,67.7169189453125,16.84560775756836,0.0255340375006198,0.0,0.0,0.0,0.0,99.31514394655824,67716918.9453125,7.521264989756876,0.0,0.375,-0.9999999899310422,11450000.0,11147414.254576769,11752585.745423231,9.74,7.693,11.432,2.321,0.0296,0.0689,1.096,460.973,44.078,0.00332,11400000.0
2022-12-04,6.374654293060303,29.45094108581543,22.834495544433597,0.0044800154864788,0.0,0.0,0.0,0.0,58.664570938795805,29450941.08581543,3.271829007814328,0.0,0.25,-0.9999999829539368,12200000.0,11979409.277922517,12420590.722077483,9.31,7.718,11.963,2.301,0.0262,0.0917,1.559,492.879,62.521,0.00429,12000000.0
2022-12-05,34.99650955200195,164.15780639648438,203.60525512695312,0.0,0.0,0.0,0.0,0.0,402.75957107543945,203605255.12695312,22.62280612521701,0.0,0.25,-0.9999999975171292,11916666.666666666,11446221.298484083,12387112.034849249,9.16,7.662,12.177,2.668,0.025,0.0908,2.043,457.367,74.072,0.00313,11800000.0
2022-12-06,61.67132186889648,245.7185516357422,181.4644012451172,0.0,0.0,0.0,0.0,0.0,488.8542747497559,245718551.6357422,27.302061292860245,0.0,0.375,-0.9999999979544006,11616666.666666666,10463297.380136495,12770035.953196837,9.03,7.667,12.225,2.307,0.047,0.0595,1.439,452.446,40.813,0.00245,10700000.0
2022-12-07,4.738309860229492,22.256078720092773,45.68309783935547,0.0,0.0,0.0,0.0,0.0,72.67748641967773,45683097.83935547,5.075899759928386,0.0,0.25,-0.9999999862405812,10800000.0,10676038.7157214,10923961.2842786,9.39,7.69,12.231,2.173,0.0489,0.0434,1.317,461.636,43.315,0.00301,11000000.0
