date,GMT_0000_PAR,GMT_0300_PAR,GMT_0600_PAR,GMT_0900_PAR,GMT_1200_PAR,GMT_1500_PAR,GMT_1800_PAR,GMT_2100_PAR,DAPAR,PDVI,MPAR,APAR,PPDI,PAI,temperature,pH,oxygen,permanganate,NH,TP,TN,conductivity,turbidity,chla,density
2021-09-27,144.12266540527344,369.3083190917969,305.4808654785156,46.93610000610352,0.0,0.0,0.0,0.0,865.8479499816895,369308319.0917969,35.81913545396593,0.0,0.375,-0.9999999988450629,27.27,8.98,8.262,4.06,0.025,0.0539,0.833,357.7,46.4,0.01318,3872420.0
2021-09-28,101.30882263183594,283.5810546875,151.57508850097656,20.930070877075195,0.0,0.0,0.0,0.0,557.3950366973877,283581054.6875,29.18344264560276,0.0,0.375,-0.9999999982059402,27.82,9.01,8.47,3.92,0.025,0.0442,0.648,361.7,37.5,0.01271,3816190.0
2021-09-29,27.490936279296875,78.20369720458984,103.16763305664062,13.952346801757812,0.0,0.0,0.0,0.0,222.8146133422852,103167633.05664062,9.912809583875868,0.0,0.25,-0.999999995511964,28.4,8.94,8.257,3.45,0.025,0.0434,0.64,364.1,40.6,0.01389,5769770.0
2021-09-30,118.12186431884766,321.0541381835937,284.8984375,38.850807189941406,0.0,0.0,0.0,0.0,762.9252471923828,321054138.1835937,31.35592566596137,0.0,0.375,-0.9999999986892556,27.44,8.81,7.741,3.67,0.025,0.0459,0.733,366.3,45.0,0.01925,9186950.0
2021-10-01,143.851318359375,356.28826904296875,315.433349609375,49.17702102661133,0.0,0.0,0.0,0.0,864.7499580383301,356288269.04296875,34.12347200181749,0.0,0.375,-0.9999999988435964,27.18,8.9,8.577,3.93,0.025,0.0542,0.704,365.3,44.1,0.03393,16200000.0
2021-10-02,131.1182403564453,342.2040100097656,289.4609680175781,38.17982864379883,0.0,0.0,0.0,0.0,800.9630470275879,342204010.0097656,33.780464596218536,0.0,0.375,-0.9999999987515028,27.5,9.0,9.279,3.87,0.025,0.0512,0.705,359.5,44.1,0.00788,3943200.0
2021-10-03,158.47140502929688,369.3273010253906,326.8148193359375,57.849308013916016,0.0,0.0,0.0,0.0,912.462833404541,369327301.0253906,34.60866589016385,0.0,0.375,-0.999999998904065,27.89,8.99,9.181,4.19,0.025,0.0523,0.705,360.8,45.5,0.00745,3864640.0
2021-10-04,136.76504516601562,349.12176513671875,296.38385009765625,40.29270935058594,0.0,0.0,0.0,0.0,822.5633697509766,349121765.13671875,34.314339531792534,0.0,0.375,-0.9999999987842882,27.07,8.72,8.244,4.3,0.025,0.0629,0.884,362.7,58.8,0.00967,5608190.0
2021-10-05,139.8941650390625,351.0714416503906,296.2493896484375,39.55353164672852,0.0,0.0,0.0,0.0,826.7685279846191,351071441.6503906,34.61310111151801,0.0,0.375,-0.9999999987904716,27.05,8.51,8.414,4.12,0.0362,0.0606,0.964,364.3,78.9,0.0126,7288830.0
2021-10-06,73.53023529052734,220.5723419189453,260.9517822265625,34.03715515136719,0.0,0.0,0.0,0.0,589.0915145874023,260951782.2265625,25.21273634168837,0.0,0.25,-0.9999999983024708,27.06,8.87,9.784,4.05,0.025,0.0636,0.824,364.1,53.6,0.01054,6153900.0
2021-10-07,80.08538818359375,241.53140258789065,43.61239242553711,5.122300624847412,0.0,0.0,0.0,0.0,370.3514838218689,241531402.58789065,26.26767799589369,0.0,0.25,-0.9999999972998624,27.19,8.63,8.704,3.73,0.0538,0.0616,0.866,366.1,54.3,0.00521,2905210.0
2021-10-08,54.454776763916016,165.75753784179688,221.81224060058597,26.00979423522949,0.0,0.0,0.0,0.0,468.0343494415283,221812240.60058597,21.755827373928494,0.0,0.25,-0.9999999978634048,27.46,8.92,9.103,4.3,0.046,0.0678,0.931,364.4,54.3,0.00924,7270120.0
2021-10-09,83.41966247558594,254.2461395263672,248.22601318359372,28.369962692260746,0.0,0.0,0.0,0.0,614.2617778778076,254246139.5263672,25.097352981567383,0.0,0.375,-0.9999999983720296,27.52,8.96,9.468,5.09,0.0364,0.0717,1.065,362.5,54.8,0.00839,7703290.0
2021-10-10,83.11841583251953,252.8580322265625,213.6898498535156,23.981151580810547,0.0,0.0,0.0,0.0,573.6474494934082,252858032.2265625,25.43076451619466,0.0,0.375,-0.999999998256769,27.67,8.85,9.423,4.11,0.04,0.0589,0.896,365.2,51.1,0.00658,4561750.0
2021-10-11,16.99024200439453,52.785377502441406,28.38337516784668,3.1199374198913574,0.0,0.0,0.0,0.0,101.27893209457396,52785377.502441406,5.51838223139445,0.0,0.375,-0.9999999901262784,26.99,8.88,9.515,4.46,0.0573,0.0792,1.106,355.8,71.8,0.00954,7487000.0
2021-10-12,71.71488189697266,225.02268981933597,63.81345748901367,6.88837480545044,0.0,0.0,0.0,0.0,367.4394040107727,225022689.81933597,24.237146112653942,0.0,0.375,-0.9999999972784628,23.22,8.33,9.751,4.7,0.0711,0.0871,1.194,359.6,69.6,0.00814,15900000.0
2021-10-13,33.59246826171875,42.43063735961914,131.90150451660156,13.96821117401123,0.0,0.0,0.0,0.0,221.89282131195068,131901504.51660156,13.103699260287817,0.0,0.375,-0.9999999954933196,,,,,,,,,,,
2021-10-14,33.9638786315918,108.34632873535156,140.95037841796875,14.653413772583008,0.0,0.0,0.0,0.0,297.9139995574951,140950378.41796875,14.032996071709526,0.0,0.25,-0.9999999966433266,,,,,,,,,,,
2021-10-15,31.054950714111328,99.60839080810548,45.95018005371094,4.685428619384766,0.0,0.0,0.0,0.0,181.2989501953125,99608390.80810548,10.546995798746744,0.0,0.375,-0.9999999944842484,,,,,,,,,,,
2021-10-16,25.692476272583008,82.8038101196289,24.976837158203125,2.4978837966918945,0.0,0.0,0.0,0.0,135.97100734710693,82803810.1196289,8.922880702548557,0.0,0.375,-0.999999992645491,,,,,,,,,,,
2021-10-17,100.5186767578125,296.3757629394531,143.0938720703125,14.011155128479004,0.0,0.0,0.0,0.0,553.9994668960571,296375762.9394531,31.37384531233046,0.0,0.375,-0.999999998194944,,,,,,,,,,,
2021-10-18,45.87970733642578,149.9353790283203,159.5957794189453,15.308929443359377,0.0,0.0,0.0,0.0,370.7197952270508,159595779.4189453,16.031872219509548,0.0,0.25,-0.999999997302545,,,,,,,,,,,
2021-10-19,26.559709548950195,87.08220672607422,64.9111557006836,6.092974662780762,0.0,0.0,0.0,0.0,184.6460466384888,87082206.72607422,8.998803562588161,0.0,0.375,-0.9999999945842328,,,,,,,,,,,
2021-10-20,26.149023056030277,86.21177673339844,31.64366149902344,2.9016757011413574,0.0,0.0,0.0,0.0,146.9061369895935,86211776.73339844,9.256677892473007,0.0,0.375,-0.9999999931929324,,,,,,,,,,,
2021-10-21,99.9057846069336,298.329345703125,183.23995971679688,16.402265548706055,0.0,0.0,0.0,0.0,597.8773555755615,298329345.703125,31.32523112826877,0.0,0.375,-0.9999999983274162,,,,,,,,,,,
2021-10-22,42.3658332824707,141.83755493164062,156.7229461669922,13.709662437438965,0.0,0.0,0.0,0.0,354.6359968185425,156722946.1669922,15.890364858839249,0.0,0.25,-0.9999999971802072,,,,,,,,,,,
2021-10-23,90.8779067993164,284.9533386230469,225.92575073242188,19.414648056030277,0.0,0.0,0.0,0.0,621.1716442108154,284953338.6230469,29.50429895189073,0.0,0.375,-0.999999998390139,,,,,,,,,,,
2021-10-24,68.54964447021484,229.02577209472656,213.2816925048828,18.22227478027344,0.0,0.0,0.0,0.0,529.0793838500977,229025772.09472656,23.42261081271701,0.0,0.375,-0.9999999981099243,,,,,,,,,,,
2021-10-25,76.72091674804688,255.27291870117188,140.4038848876953,11.37722873687744,0.0,0.0,0.0,0.0,483.7749490737915,255272918.70117188,27.099521107143826,0.0,0.375,-0.9999999979329232,,,,,,,,,,,
2021-10-26,81.04078674316406,266.9571838378906,261.7515563964844,25.043302536010746,0.0,0.0,0.0,0.0,634.7928295135498,266957183.83789065,26.87932014465332,0.0,0.375,-0.9999999984246828,,,,,,,,,,,
2021-10-27,80.8441162109375,268.5063781738281,215.59310913085935,16.6444149017334,0.0,0.0,0.0,0.0,581.5880184173584,268506378.1738281,27.984662585788303,0.0,0.375,-0.9999999982805698,,,,,,,,,,,
2021-10-28,107.87914276123048,308.3621520996094,268.2469787597656,25.60480308532715,0.0,0.0,0.0,0.0,710.0930767059326,308362152.0996094,31.417483223809132,0.0,0.375,-0.999999998591734,,,,,,,,,,,
2021-10-29,62.73576354980469,140.19740295410156,224.0605926513672,16.481487274169922,0.0,0.0,0.0,0.0,443.47524642944336,224060592.6513672,23.06434504191081,0.0,0.375,-0.9999999977450827,,,,,,,,,,,
2021-10-30,78.65338897705078,264.97430419921875,211.587890625,14.848575592041016,0.0,0.0,0.0,0.0,570.0641593933105,264974304.19921875,27.79174762301975,0.0,0.375,-0.9999999982458116,,,,,,,,,,,
2021-10-31,93.00344848632812,290.1205139160156,231.3737335205078,18.605995178222656,0.0,0.0,0.0,0.0,633.1036911010742,290120513.9160156,30.168279859754776,0.0,0.375,-0.99999999842048,,,,,,,,,,,
2021-11-01,79.59790802001953,268.98468017578125,213.1682586669922,14.066117286682127,0.0,0.0,0.0,0.0,575.8169641494751,268984680.17578125,28.32428476545546,0.0,0.375,-0.9999999982633372,19.73,8.82,8.731,4.118,0.025,0.0402,0.585,379.0,32.8,0.17231,71900000.0
2021-11-02,25.89677047729492,93.1043472290039,95.39778900146484,6.011765956878662,0.0,0.0,0.0,0.0,220.41067266464236,95397789.00146484,9.931780338287354,0.0,0.25,-0.9999999954630148,19.95,8.91,8.938,4.197,0.025,0.035,0.58,378.7,31.1,0.19955,86100000.0
2021-11-03,74.19200897216797,259.053466796875,143.35643005371094,8.727096557617188,0.0,0.0,0.0,0.0,485.3290023803711,259053466.796875,27.814041137695312,0.0,0.375,-0.999999997939542,19.04,8.58,9.086,3.494,0.025,0.0327,0.574,378.1,30.7,0.01685,2789470.0
2021-11-04,52.85679244995117,193.42446899414065,51.96304702758789,3.018310308456421,0.0,0.0,0.0,0.0,301.2626187801361,193424468.99414065,21.156239853964912,0.0,0.375,-0.999999996680637,19.0,8.67,9.165,3.487,0.025,0.032,0.559,378.2,29.0,0.01516,2318830.0
2021-11-05,36.944122314453125,135.87911987304688,43.033145904541016,2.395261287689209,0.0,0.0,0.0,0.0,218.25164937973025,135879119.87304688,14.831539842817518,0.0,0.375,-0.9999999954181332,18.8,8.61,8.776,3.425,0.025,0.03,0.521,379.1,31.2,0.02143,2631800.0
2021-11-06,10.549686431884766,38.98725509643555,20.51639175415039,1.0932509899139404,0.0,0.0,0.0,0.0,71.14658427238464,38987255.09643555,4.210444900724623,0.0,0.375,-0.9999999859445116,19.22,8.76,9.274,3.848,0.025,0.0387,0.612,380.1,31.0,0.03406,4153810.0
2021-11-07,6.767734527587891,25.19465065002441,39.10334777832031,2.005775451660156,0.0,0.0,0.0,0.0,73.07150840759277,39103347.77832031,4.121952480740017,0.0,0.25,-0.9999999863147756,19.12,8.43,8.462,3.572,0.025,0.0328,0.537,384.0,32.0,0.01152,1881170.0
