date,GMT_0000_PAR,GMT_0300_PAR,GMT_0600_PAR,GMT_0900_PAR,GMT_1200_PAR,GMT_1500_PAR,GMT_1800_PAR,GMT_2100_PAR,DAPAR,PDVI,MPAR,APAR,PPDI,PAI
2022-01-06,46.63736343383789,211.72210693359375,55.36001205444336,0.0,0.0,0.0,0.0,0.0,313.719482421875,211722106.93359375,23.524678548177082,0.0,0.375,-0.999999996812439
2022-01-07,44.0239372253418,200.59713745117188,105.16693878173828,0.0,0.0,0.0,0.0,0.0,349.78801345825195,200597137.45117188,22.288570827907986,0.0,0.375,-0.9999999971411256
2022-01-08,29.1374454498291,131.89122009277344,69.14535522460938,0.0,0.0,0.0,0.0,0.0,230.1740207672119,131891220.09277344,14.654580010308159,0.0,0.375,-0.999999995655461
2022-01-09,20.664274215698242,92.78663635253906,53.34496307373047,0.03708890080451965,0.0,0.0,0.0,0.0,166.8329625427723,92786636.35253906,10.30550527241495,0.0,0.25,-0.9999999940059807
2022-01-10,4.593518257141113,20.432308197021484,34.11846923828125,0.07721851766109467,0.0,0.0,0.0,0.0,59.22151421010494,34118469.23828125,3.7823611911800175,0.0,0.25,-0.999999983114245
2022-01-11,52.63971710205078,225.51446533203125,187.68946838378906,0.7641714215278625,0.0,0.0,0.0,0.0,466.60782223939896,225514465.33203125,24.97225487894482,0.0,0.25,-0.9999999978568727
2022-01-12,59.244651794433594,240.27674865722656,203.52365112304688,1.2846513986587524,0.0,0.0,0.0,0.0,504.3297029733658,240276748.65722656,26.554677473174202,0.0,0.25,-0.9999999980171701
2022-01-13,37.64332580566406,165.6131134033203,178.1128692626953,1.3364078998565674,0.0,0.0,0.0,0.0,382.70571637153625,178112869.2626953,19.641829040315415,0.0,0.25,-0.9999999973870263
2022-01-14,73.20706176757812,261.5985107421875,47.25077819824219,0.43737736344337463,0.0,0.0,0.0,0.0,382.4937280714512,261598510.7421875,29.017903708749348,0.0,0.25,-0.9999999973855781
2022-01-15,35.360511779785156,152.889404296875,173.89137268066406,1.9452320337295532,0.0,0.0,0.0,0.0,364.0865207910538,173891372.68066406,19.10512673854828,0.0,0.25,-0.9999999972534002
2022-01-16,46.83578872680664,200.9183349609375,139.3817138671875,1.8460763692855835,0.0,0.0,0.0,0.0,388.9819139242172,200918334.9609375,22.11913984351688,0.0,0.25,-0.9999999974291864
2022-01-17,49.31947708129883,52.42231750488281,108.22667694091797,1.64762544631958,0.0,0.0,0.0,0.0,211.6160969734192,108226676.94091797,11.842116832733154,0.0,0.375,-0.9999999952744616
2022-01-18,42.350440979003906,179.5619659423828,148.32864379882812,2.5545289516448975,0.0,0.0,0.0,0.0,372.79557967185974,179561965.9423828,19.66749299897088,0.0,0.25,-0.9999999973175647
2022-01-19,46.67072296142578,196.43319702148438,156.2668914794922,2.9963536262512207,0.0,0.0,0.0,0.0,402.36716508865356,196433197.02148438,21.492982599470352,0.0,0.25,-0.9999999975147078
2022-01-20,49.93002700805664,207.67385864257812,165.338134765625,3.508458137512207,0.0,0.0,0.0,0.0,426.450478553772,207673858.64257812,22.68504450056288,0.0,0.25,-0.9999999976550619
2022-01-21,13.534541130065918,55.592994689941406,49.584739685058594,1.1444536447525024,0.0,0.0,0.0,0.0,119.85672914981842,55592994.689941406,6.049837893909878,0.0,0.25,-0.9999999916567055
2022-01-22,17.901304244995117,72.97257232666016,19.439281463623047,0.48323312401771545,0.0,0.0,0.0,0.0,110.79639115929604,72972572.32666016,8.054371022515827,0.0,0.375,-0.9999999909744354
2022-01-23,5.646492004394531,22.80953025817871,29.77724838256836,0.8253812193870544,0.0,0.0,0.0,0.0,59.058651864528656,29777248.38256836,3.2168741292423673,0.0,0.25,-0.9999999830676802
2022-01-24,37.95487594604492,152.921875,68.13129425048828,1.9569352865219116,0.0,0.0,0.0,0.0,260.9649804830551,152921875.0,16.773882190386455,0.0,0.375,-0.9999999961680682
2022-01-25,25.078887939453125,99.99392700195312,19.258028030395508,0.581178605556488,0.0,0.0,0.0,0.0,144.91202157735825,99993927.00195312,11.04586093293296,0.0,0.375,-0.9999999930992614
2022-01-26,6.285872936248779,24.803539276123047,20.333498001098633,0.6572165489196777,0.0,0.0,0.0,0.0,52.08012676239014,24803539.276123047,2.682924747467041,0.0,0.25,-0.9999999807988182
2022-01-27,13.596607208251953,53.2957763671875,20.19327163696289,0.6969329714775085,0.0,0.0,0.0,0.0,87.78258818387985,53295776.3671875,5.844315932856666,0.0,0.375,-0.9999999886082194
2022-01-28,26.201663970947266,102.04339599609375,26.92914390563965,0.9910629391670227,0.0,0.0,0.0,0.0,156.1652668118477,102043395.99609375,11.228037006325192,0.0,0.375,-0.9999999935965275
2022-01-29,30.296117782592773,117.21634674072266,56.07373809814453,2.2126991748809814,0.0,0.0,0.0,0.0,205.79890179634094,117216346.74072266,12.778183062871298,0.0,0.375,-0.9999999951408877
2022-01-30,53.483463287353516,204.93072509765625,63.38106918334961,2.646806478500366,0.0,0.0,0.0,0.0,324.44206404685974,204930725.09765625,22.475990957683987,0.0,0.375,-0.9999999969177856
2022-01-31,76.17876434326172,266.71014404296875,142.61727905273438,6.425711154937744,0.0,0.0,0.0,0.0,491.9318985939026,266710144.04296875,28.920492543114555,0.0,0.375,-0.9999999979671983
2022-02-01,50.669029235839844,192.3671417236328,112.88906860351562,5.2979230880737305,0.0,0.0,0.0,0.0,361.223162651062,192367141.7236328,20.785468737284344,0.0,0.375,-0.9999999972316282
2022-02-02,61.681236267089844,27.249727249145508,72.69050598144531,3.518589496612549,0.0,0.0,0.0,0.0,165.1400589942932,72690505.98144531,7.685768498314752,0.0,0.375,-0.9999999939445341
2022-02-03,23.52407455444336,87.46984100341797,67.6781234741211,3.425020217895508,0.0,0.0,0.0,0.0,182.09705924987793,87469841.00341797,9.338313420613607,0.0,0.375,-0.9999999945084231
2022-02-04,69.44115447998047,245.8571014404297,202.51002502441406,12.904681205749512,0.0,0.0,0.0,0.0,530.7129621505737,245857101.4404297,25.883602248297798,0.0,0.375,-0.9999999981157423
2022-02-05,81.47612762451172,273.9455261230469,233.29013061523438,14.776206970214844,0.0,0.0,0.0,0.0,603.4879913330078,273945526.1230469,28.79659101698134,0.0,0.375,-0.9999999983429662
2022-02-06,57.94155502319336,211.76808166503906,52.028411865234375,2.9599459171295166,0.0,0.0,0.0,0.0,324.6979944705963,211768081.66503906,23.20090397198995,0.0,0.375,-0.999999996920215
2022-02-07,12.168655395507812,43.85932922363281,23.135465621948242,1.3566865921020508,0.0,0.0,0.0,0.0,80.52013683319092,43859329.22363281,4.722515847947863,0.0,0.375,-0.9999999875807466
2022-02-08,39.32575988769531,141.1598358154297,134.71945190429688,8.477433204650879,0.0,0.0,0.0,0.0,323.68248081207275,141159835.8154297,14.742489178975424,0.0,0.25,-0.9999999969105526
2022-02-09,51.69293975830078,184.6429901123047,34.5654182434082,2.2068517208099365,0.0,0.0,0.0,0.0,273.1081998348236,184642990.1123047,20.270682043499416,0.0,0.375,-0.9999999963384476
2022-02-10,32.222068786621094,110.52178955078125,131.3278350830078,8.923083305358887,0.0,0.0,0.0,0.0,282.99477672576904,131327835.08300781,13.600527975294325,0.0,0.25,-0.999999996466366
2022-02-11,7.807511806488037,27.335420608520508,22.767589569091797,1.578425407409668,0.0,0.0,0.0,0.0,59.48894739151001,27335420.608520508,2.8618883556789823,0.0,0.375,-0.999999983190155
2022-02-12,25.36292839050293,88.35822296142578,51.70906066894531,3.7243101596832275,0.0,0.0,0.0,0.0,169.15452218055725,88358222.96142578,9.403768089082506,0.0,0.375,-0.9999999940882456
2022-02-13,7.727200508117676,26.698741912841797,23.751916885375977,1.7727714776992798,0.0,0.0,0.0,0.0,59.95063078403473,26698741.912841797,2.7695522705713906,0.0,0.375,-0.9999999833196087
2022-02-14,81.116943359375,267.8165283203125,49.19036865234375,3.797860622406006,0.0,0.0,0.0,0.0,401.92170095443726,267816528.3203125,29.33540752198961,0.0,0.25,-0.9999999975119532
2022-02-15,7.923038482666016,27.02001953125,35.797115325927734,2.8406622409820557,0.0,0.0,0.0,0.0,73.5808355808258,35797115.325927734,3.66182812054952,0.0,0.25,-0.9999999864095049
2022-02-16,54.688690185546875,186.36538696289062,138.16172790527344,11.34589958190918,0.0,0.0,0.0,0.0,390.5617046356201,186365386.96289062,19.44660970899794,0.0,0.375,-0.9999999974395851
2022-02-17,22.311195373535156,75.18647003173828,48.93400573730469,4.111088275909424,0.0,0.0,0.0,0.0,150.54275941848755,75186470.03173828,7.89726463953654,0.0,0.375,-0.9999999933573691
2022-02-18,57.387603759765625,27.940813064575195,52.596248626708984,4.535307884216309,0.0,0.0,0.0,0.0,142.4599733352661,57387603.759765625,5.87247731950548,0.0,0.375,-0.9999999929804845
2022-02-19,55.290584564208984,184.62530517578125,23.347135543823242,2.0585732460021973,0.0,0.0,0.0,0.0,265.3215985298157,184625305.17578125,20.285192436642117,0.0,0.25,-0.9999999962309891
2022-02-20,133.32861328125,337.115966796875,272.6965637207031,29.850175857543945,0.0,0.0,0.0,0.0,772.9913196563721,337115966.796875,34.14064343770345,0.0,0.375,-0.9999999987063244
2022-02-21,94.65779876708984,290.4190673828125,155.77349853515625,14.430305480957031,0.0,0.0,0.0,0.0,555.2806701660156,290419067.3828125,30.66541798909505,0.0,0.375,-0.9999999981991089
2022-02-22,36.78322219848633,120.53961181640625,120.66313934326172,11.43265151977539,0.0,0.0,0.0,0.0,289.4186248779297,120663139.34326172,12.136720869276258,0.0,0.375,-0.9999999965447973
2022-02-23,98.12356567382812,295.8253173828125,129.5293426513672,12.531064987182617,0.0,0.0,0.0,0.0,536.0092906951904,295825317.3828125,31.477139155069988,0.0,0.375,-0.9999999981343607
2022-02-24,127.70838928222656,333.3606262207031,282.23956298828125,33.177894592285156,0.0,0.0,0.0,0.0,776.4864730834961,333360626.2207031,33.353636847602,0.0,0.375,-0.9999999987121475
2022-02-25,114.29193878173828,319.0094299316406,266.3615417480469,28.87880516052246,0.0,0.0,0.0,0.0,728.5417156219482,319009429.9316406,32.236736085679794,0.0,0.375,-0.999999998627395
2022-02-26,111.45879364013672,315.4082946777344,251.3756103515625,26.209270477294922,0.0,0.0,0.0,0.0,704.4519691467285,315408294.6777344,32.13322491115994,0.0,0.375,-0.9999999985804569
2022-02-27,109.34117126464844,313.3647766113281,274.82720947265625,31.351186752319336,0.0,0.0,0.0,0.0,728.8843441009521,313364776.6113281,31.334843317667644,0.0,0.375,-0.9999999986280402
2022-02-28,98.4177017211914,298.03436279296875,214.83245849609375,22.885826110839844,0.0,0.0,0.0,0.0,634.1703491210938,298034362.79296875,30.572059631347656,0.0,0.375,-0.9999999984231366
2022-03-01,79.19731903076172,247.69638061523438,187.9591064453125,20.375244140625,0.0,0.0,0.0,0.0,535.2280502319336,247696380.61523438,25.257904052734375,0.0,0.375,-0.9999999981316375
2022-03-02,104.093994140625,303.98724365234375,246.81057739257812,27.347400665283203,0.0,0.0,0.0,0.0,682.2392158508301,303987243.65234375,30.737760331895615,0.0,0.375,-0.9999999985342385
2022-03-03,115.37427520751953,321.52813720703125,266.3691711425781,30.712142944335938,0.0,0.0,0.0,0.0,733.9837265014648,321528137.20703125,32.31288825141059,0.0,0.375,-0.9999999986375719
2022-03-04,120.42462921142578,328.1606140136719,271.4305725097656,32.11821365356445,0.0,0.0,0.0,0.0,752.1340293884277,328160614.0136719,32.89360004001193,0.0,0.375,-0.9999999986704498
2022-03-05,126.39476013183594,334.91705322265625,298.1388854980469,40.59033966064453,0.0,0.0,0.0,0.0,800.0410385131836,334917053.22265625,32.702968173556854,0.0,0.375,-0.9999999987500642
2022-03-06,98.02413177490234,259.71319580078125,133.179931640625,15.710243225097656,0.0,0.0,0.0,0.0,506.62750244140625,259713195.80078125,27.111439175075954,0.0,0.375,-0.9999999980261632
2022-03-07,108.82571411132812,309.908935546875,261.56134033203125,31.651018142700195,0.0,0.0,0.0,0.0,711.9470081329346,309908935.546875,30.917546378241646,0.0,0.375,-0.9999999985954011
2022-03-08,158.62905883789062,369.3847351074219,320.13372802734375,53.20853805541992,0.0,0.0,0.0,0.0,901.3560600280762,369384735.1074219,35.13068856133355,0.0,0.375,-0.9999999988905606
2022-03-09,121.48025512695312,328.1994323730469,285.6924133300781,36.95051956176758,0.0,0.0,0.0,0.0,772.3226203918457,328199432.3730469,32.360990312364365,0.0,0.375,-0.9999999987052043
2022-03-10,40.87818145751953,119.4422607421875,200.4905242919922,25.011537551879883,0.0,0.0,0.0,0.0,385.8225040435791,200490524.2919922,19.49766519334581,0.0,0.25,-0.9999999974081346
2022-03-11,127.05553436279297,335.63116455078125,277.09515380859375,35.928340911865234,0.0,0.0,0.0,0.0,775.7101936340332,335631164.55078125,33.30031373765733,0.0,0.375,-0.9999999987108588
2022-03-12,157.08216857910156,369.26568603515625,316.6614685058594,48.813392639160156,0.0,0.0,0.0,0.0,891.8227157592773,369265686.03515625,35.6058103773329,0.0,0.375,-0.999999998878701
2022-03-13,125.70232391357422,335.0095520019531,178.94879150390625,23.839181900024414,0.0,0.0,0.0,0.0,663.499849319458,335009552.0019531,34.574485566880966,0.0,0.375,-0.9999999984928407
2022-03-14,94.67682647705078,266.1678771972656,148.59217834472656,20.287803649902344,0.0,0.0,0.0,0.0,529.7246856689453,266167877.19726562,27.320008171929253,0.0,0.375,-0.999999998112227
2022-03-15,133.77188110351562,343.231689453125,317.2730407714844,51.8140754699707,0.0,0.0,0.0,0.0,846.0906867980957,343231689.453125,32.37973488701714,0.0,0.375,-0.9999999988180936
2022-03-16,124.6694564819336,331.9469909667969,211.08453369140625,30.15705108642578,0.0,0.0,0.0,0.0,697.8580322265625,331946990.9667969,33.53221554226346,0.0,0.375,-0.9999999985670438
2022-03-17,13.307336807250977,36.97840118408203,30.658035278320312,4.504781723022461,0.0,0.0,0.0,0.0,85.44855499267578,36978401.18408203,3.60817994011773,0.0,0.375,-0.9999999882970522
2022-03-18,48.953880310058594,135.60313415527344,37.71794128417969,5.653563499450684,0.0,0.0,0.0,0.0,227.9285192489624,135603134.15527344,14.438841183980307,0.0,0.375,-0.9999999956126596
2022-03-19,23.462472915649414,64.47322082519531,87.30390930175781,13.33624267578125,0.0,0.0,0.0,0.0,188.5758457183838,87303909.30175781,8.218629625108507,0.0,0.25,-0.999999994697094
2022-03-20,21.226045608520508,57.961509704589844,31.369972229003906,4.8977370262146,0.0,0.0,0.0,0.0,115.45526456832886,57961509.704589844,5.895974742041694,0.0,0.375,-0.9999999913386367
2022-03-21,24.584657669067383,66.76757049560547,31.577056884765625,5.023486137390137,0.0,0.0,0.0,0.0,127.95277118682861,66767570.49560547,6.860453817579481,0.0,0.375,-0.9999999921846164
2022-03-22,78.55684661865234,37.41838836669922,144.7902069091797,23.34642791748047,0.0,0.0,0.0,0.0,284.1118698120117,144790206.9091797,13.493753221299913,0.0,0.375,-0.9999999964802597
2022-03-23,145.04733276367188,354.9378356933594,298.584228515625,51.03010177612305,0.0,0.0,0.0,0.0,849.5994987487793,354937835.6933594,33.76752599080404,0.0,0.375,-0.9999999988229749
2022-03-24,156.2633819580078,369.64849853515625,334.89678955078125,65.7012939453125,0.0,0.0,0.0,0.0,926.5099639892578,369648498.53515625,33.77191162109375,0.0,0.375,-0.9999999989206808
2022-03-25,15.563753128051758,41.372108459472656,49.38002395629883,8.414241790771484,0.0,0.0,0.0,0.0,114.73012733459473,49380023.95629883,4.551753573947483,0.0,0.375,-0.9999999912838937
2022-03-26,128.90919494628906,330.44775390625,160.03671264648438,27.556344985961914,0.0,0.0,0.0,0.0,646.9500064849854,330447753.90625,33.65460099114312,0.0,0.375,-0.9999999984542856
2022-03-27,117.31417846679688,306.17987060546875,122.00431823730469,21.357912063598633,0.0,0.0,0.0,0.0,566.856279373169,306179870.60546875,31.646884282430012,0.0,0.375,-0.9999999982358844
2022-03-28,147.84388732910156,358.3419494628906,280.9296569824219,50.36338806152344,0.0,0.0,0.0,0.0,837.4788818359375,358341949.4628906,34.219840155707466,0.0,0.375,-0.99999999880594
2022-03-29,163.1490478515625,376.7269287109375,315.5631103515625,60.365211486816406,0.0,0.0,0.0,0.0,915.8042984008789,376726928.7109375,35.15130191379123,0.0,0.375,-0.9999999989080637
2022-03-30,60.025657653808594,156.30494689941406,103.49723052978516,18.96004295349121,0.0,0.0,0.0,0.0,338.787878036499,156304946.89941406,15.260544882880318,0.0,0.375,-0.9999999970483006
2022-03-31,26.374374389648438,68.2701644897461,89.77082061767578,16.660186767578125,0.0,0.0,0.0,0.0,201.07554626464844,89770820.61767578,8.123403761121962,0.0,0.375,-0.9999999950267449
2022-04-01,119.74581146240234,305.7047119140625,257.874267578125,48.41842269897461,0.0,0.0,0.0,0.0,731.7432136535645,305704711.9140625,28.587365468343098,0.0,0.375,-0.9999999986334004
2022-04-02,178.56504821777344,392.81732177734375,342.4783020019531,74.9662857055664,0.0,0.0,0.0,0.0,988.8269577026367,392817321.77734375,35.31678178575304,0.0,0.375,-0.9999999989887007
2022-04-03,161.66848754882812,374.2182922363281,322.9560241699219,66.68126678466797,0.0,0.0,0.0,0.0,925.5240707397461,374218292.2363281,34.17078060574002,0.0,0.375,-0.9999999989195311
2022-04-04,165.18568420410156,378.6512451171875,327.3468017578125,68.84352111816406,0.0,0.0,0.0,0.0,940.0272521972656,378651245.1171875,34.42308044433594,0.0,0.375,-0.9999999989362011
2022-04-05,51.058048248291016,129.50685119628906,108.61314392089844,21.492708206176758,0.0,0.0,0.0,0.0,310.6707515716553,129506851.19628906,12.001571443345812,0.0,0.375,-0.9999999967811583
2022-04-06,179.7784423828125,393.89385986328125,343.18670654296875,77.43048095703125,0.0,0.0,0.0,0.0,994.2894897460938,393893859.86328125,35.16259765625,0.0,0.375,-0.9999999989942567
2022-04-07,165.1511688232422,378.5973205566406,327.2483215332031,70.31578826904297,0.0,0.0,0.0,0.0,941.3125991821289,378597320.5566406,34.25350358751085,0.0,0.375,-0.9999999989376537
2022-04-08,169.02186584472656,381.6540222167969,330.70172119140625,72.71562194824219,0.0,0.0,0.0,0.0,954.0932312011719,381654022.2167969,34.3264889187283,0.0,0.375,-0.9999999989518844
2022-04-09,209.7967071533203,421.8140563964844,372.40667724609375,98.548095703125,0.0,0.0,0.0,0.0,1102.5655364990234,421814056.3964844,35.91844007703993,0.0,0.375,-0.9999999990930243
2022-04-10,75.88443756103516,188.33970642089844,158.637451171875,33.14168167114258,0.0,0.0,0.0,0.0,456.0032768249512,188339706.42089844,17.244224972195095,0.0,0.375,-0.9999999978070333
2022-04-11,207.55996704101562,419.80169677734375,370.33746337890625,97.2263412475586,0.0,0.0,0.0,0.0,1094.9254684448242,419801696.77734375,35.84170616997613,0.0,0.375,-0.9999999990866957
2022-04-12,179.68743896484375,395.1355285644531,344.07904052734375,79.77206420898438,0.0,0.0,0.0,0.0,998.674072265625,395135528.5644531,35.040384928385414,0.0,0.375,-0.9999999989986723
2022-04-13,28.085308074951172,68.48236083984375,57.865394592285156,12.511334419250488,0.0,0.0,0.0,0.0,166.94439792633057,68482360.83984375,6.219002935621473,0.0,0.375,-0.9999999940099817
2022-04-14,50.665042877197266,123.1068115234375,104.06444549560547,22.67897605895996,0.0,0.0,0.0,0.0,300.5152759552002,123106811.5234375,11.158648384941948,0.0,0.375,-0.9999999966723822
2022-04-15,135.66937255859375,323.88385009765625,275.928466796875,60.76988983154297,0.0,0.0,0.0,0.0,796.251579284668,323883850.09765625,29.23488447401259,0.0,0.375,-0.9999999987441155
2022-04-16,155.46353149414062,359.2380676269531,308.96527099609375,69.83833312988281,0.0,0.0,0.0,0.0,893.5052032470703,359238067.6269531,32.155526055230034,0.0,0.375,-0.9999999988808124
2022-04-17,178.26051330566406,390.90423583984375,327.4656066894531,75.9885482788086,0.0,0.0,0.0,0.0,972.6189041137695,390904235.83984375,34.99063195122613,0.0,0.375,-0.9999999989718481
2022-04-18,165.10525512695312,373.59429931640625,302.8535461425781,69.92936706542969,0.0,0.0,0.0,0.0,911.4824676513672,373594299.31640625,33.740548027886284,0.0,0.375,-0.9999999989028862
2022-04-19,170.5494384765625,380.3691711425781,53.67222595214844,12.219900131225586,0.0,0.0,0.0,0.0,616.8107357025146,380369171.1425781,40.90547455681695,0.0,0.25,-0.9999999983787572
2022-04-20,188.73989868164062,402.2569580078125,298.607177734375,69.2232437133789,0.0,0.0,0.0,0.0,958.827278137207,402256958.0078125,37.003746032714844,0.0,0.375,-0.9999999989570593
2022-04-21,194.4749755859375,406.54083251953125,356.3694763183594,91.68878173828125,0.0,0.0,0.0,0.0,1049.0740661621094,406540832.51953125,34.983561197916664,0.0,0.375,-0.9999999990467784
2022-04-22,120.85665893554688,282.74609375,103.04570770263672,24.026655197143555,0.0,0.0,0.0,0.0,530.6751155853271,282746093.75,28.746604283650715,0.0,0.375,-0.9999999981156079
2022-04-23,73.79257202148438,284.978759765625,113.07172393798828,26.537792205810547,0.0,0.0,0.0,0.0,498.3808479309082,284978759.765625,28.715663062201607,0.0,0.375,-0.9999999979935024
2022-04-24,146.91856384277344,335.3625183105469,366.93841552734375,97.9521255493164,0.0,0.0,0.0,0.0,947.1716232299805,366938415.52734375,29.88736555311415,0.0,0.375,-0.9999999989442251
2022-04-25,19.38010025024414,45.00490188598633,121.71612548828125,28.983680725097656,0.0,0.0,0.0,0.0,215.08480834960938,121716125.48828125,11.370669470893013,0.0,0.375,-0.9999999953506712
2022-04-26,41.381526947021484,95.88534545898438,159.22027587890625,38.109867095947266,0.0,0.0,0.0,0.0,334.5970153808594,159220275.87890625,13.456712086995443,0.0,0.25,-0.9999999970113302
2022-04-27,200.37948608398438,413.467041015625,335.51629638671875,84.27762603759766,0.0,0.0,0.0,0.0,1033.6404495239258,413467041.015625,36.57660166422526,0.0,0.375,-0.9999999990325454
2022-04-28,91.91118621826172,212.04847717285156,155.0015411376953,37.61071014404297,0.0,0.0,0.0,0.0,496.57191467285156,212048477.17285156,19.381974114312065,0.0,0.375,-0.999999997986193
