date,GMT_0000_PAR,GMT_0300_PAR,GMT_0600_PAR,GMT_0900_PAR,GMT_1200_PAR,GMT_1500_PAR,GMT_1800_PAR,GMT_2100_PAR,DAPAR,PDVI,MPAR,APAR,PPDI,PAI,density_mean,density_lower,density_upper,temperature,pH,oxygen,permanganate,NH,TP,TN,conductivity,turbidity,chla,density
2022-10-21,105.1286849975586,309.3087463378906,263.582275390625,27.615741729736328,0.0,0.0,0.0,0.0,705.6354484558105,309308746.3378906,31.299222734239365,0.0,0.375,-0.9999999985828376,11142048.333333334,9253988.450877285,13030108.215789383,16.61,8.749,9.511,10.313,0.025,0.1221,0.711,363.69,73.98,0.0215,14700000.0
2022-10-22,87.12812805175781,282.1318359375,236.3524169921875,22.13207626342773,0.0,0.0,0.0,0.0,627.744457244873,282131835.9375,28.88886218600803,0.0,0.375,-0.999999998406995,9240656.666666666,7346654.498578247,11134658.834755084,17.56,8.065,8.826,3.934,0.025,0.0805,0.628,414.509,119.45,0.0155,7292430.0
2022-10-23,63.42090225219727,217.7620086669922,178.56944274902344,16.123409271240234,0.0,0.0,0.0,0.0,475.8757629394531,217762008.6669922,22.404288821750217,0.0,0.375,-0.9999999978986112,13982338.333333334,10915909.05150224,17048767.61516443,18.24,8.023,10.046,5.838,0.025,0.0698,0.818,412.317,13.96,0.02016,16000000.0
2022-10-24,74.73633575439453,254.617431640625,261.0051574707031,26.30864524841309,0.0,0.0,0.0,0.0,616.6675701141357,261005157.47070312,26.07739024692112,0.0,0.25,-0.9999999983783808,12229893.333333334,9486259.403120425,14973527.263546243,17.74,8.048,9.97,4.413,0.025,0.0882,1.292,413.988,132.39,0.02284,17200000.0
2022-10-25,112.63159942626952,315.903564453125,236.57992553710935,20.81151008605957,0.0,0.0,0.0,0.0,685.9265995025635,315903564.453125,32.78800604078505,0.0,0.375,-0.999999998542118,10603515.0,9842455.359048825,11364574.640951175,17.43,8.063,9.571,4.287,0.025,0.0815,0.574,413.942,69.12,0.02033,9404100.0
2022-10-26,37.29506301879883,130.1621856689453,27.14694595336914,2.2687652111053467,0.0,0.0,0.0,0.0,196.87295985221863,130162185.66894533,14.210380050871107,0.0,0.375,-0.9999999949205824,10041095.0,9304727.0890094,10777462.9109906,17.09,8.03,9.313,5.221,0.025,0.1176,0.694,416.156,172.75,0.01969,10600000.0
2022-10-27,14.290982246398926,50.08983612060547,23.2069034576416,1.885401487350464,0.0,0.0,0.0,0.0,89.47312331199646,50089836.12060547,5.356048292583889,0.0,0.375,-0.9999999888234596,9658020.0,8602895.040841168,10058511.6258255,16.58,8.074,8.857,4.038,0.025,0.097,0.51,413.051,89.1,0.01503,9658020.0
2022-10-28,58.25002670288086,206.52500915527344,127.51060485839844,10.180109977722168,0.0,0.0,0.0,0.0,402.4657506942749,206525009.15527344,21.81609990861681,0.0,0.375,-0.9999999975153164,9697487.5,7901062.992672933,9339560.3406604,,,,,,,,,,,
2022-10-29,56.29161071777344,200.31027221679688,252.55941772460935,21.713302612304688,0.0,0.0,0.0,0.0,530.8746032714844,252559417.72460935,25.64956834581163,0.0,0.25,-0.999999998116316,9736955.0,7199230.944504701,8620609.0554953,,,,,,,,,,,
2022-10-30,18.44071578979492,66.05299377441406,128.18540954589844,9.6826171875,0.0,0.0,0.0,0.0,222.36173629760745,128185409.54589844,13.166976928710938,0.0,0.25,-0.9999999955028234,9776422.5,6497398.896336466,7901657.7703302,,,,,,,,,,,
2022-10-31,87.74007415771484,286.5071716308594,262.6510009765625,24.107227325439453,0.0,0.0,0.0,0.0,661.0054740905762,286507171.6308594,29.15554936726888,0.0,0.375,-0.9999999984871532,9815890.0,5795566.848168233,7182706.485165101,,,,,,,,,,,
2022-11-01,91.55850982666016,291.61236572265625,40.39421463012695,2.854211568832397,0.0,0.0,0.0,0.0,426.41930174827576,291612365.72265625,32.08423935042487,0.0,0.25,-0.9999999976548904,5778745.0,5093734.8,6463755.2,,,,,,,,,,,
