date,ndci,ndvi,evi,ndwi,b1,b2,b5,density_mean,density_lower,density_upper
2024-04-02,-0.017391959391534328,0.0020008899911772462,-0.01389691447839141,0.060674143582582475,8010.5,8043.8,7140.1,11141969.683333334,10523207.647716096,11760731.71895057
2024-04-03,-0.017219655215740204,0.002305265748873353,-0.015892932191491127,0.05639386177062988,8223.0,8261.0,7379.0,9931818.166666666,9396091.027096836,10467545.306236496
2024-04-04,0.028879892081022263,-0.014993920922279358,0.3486180901527405,0.0033021464478224516,3757.0,3646.0,3622.0,11650000.0,10371985.81124204,12928014.18875796
2024-04-05,0.12357217073440552,-0.21231979131698608,4.550561904907227,0.1865745335817337,925.0,601.0,412.0,10948484.833333334,10222171.9682535,11674797.698413167
2024-04-06,0.014586307108402252,0.0141734154894948,-0.43846720457077026,0.05888205021619797,8277.0,8515.0,7568.0,10404545.5,10025425.62163573,10783665.37836427
2024-04-07,0.013692271895706654,0.004962364211678505,-0.1855713129043579,0.08919506520032883,8923.0,9012.0,7536.0,9250000.0,9081353.652905881,9418646.347094119
2024-04-08,-0.02509349025785923,-0.0023737235460430384,0.014494707807898521,0.137891948223114,9079.0,9036.0,6846.0,9250000.0,8962000.368577555,9537999.631422445
2024-04-09,-0.015462197130545974,0.000228154007345438,-0.0019737351685762405,0.07153232488781214,6037.0,6024.0,4913.5,8803030.333333334,8495393.760344084,9110666.906322584
2024-04-10,-0.0058309040032327175,0.0028300315607339144,-0.018442178145051003,0.0051727015525102615,2995.0,3012.0,2981.0,8356060.666666667,8028787.152110612,8683334.181222722
2024-04-11,0.02381463162600994,-0.00041640640120022,0.020283976569771767,0.04346881061792374,4805.0,4801.0,4401.0,8825757.666666666,8662424.404606003,8989090.928727329
2024-04-12,0.009629670530557632,0.0046087889932096004,-0.0897141695022583,0.0912795439362526,9287.0,9373.0,7805.0,9362121.166666666,8439691.959973613,10284550.37335972
2024-04-13,-0.03863796591758728,0.008846329525113106,-0.04030582681298256,0.05372451990842819,5434.0,5531.0,4967.0,9518181.833333334,9202275.356111854,9834088.310554814
2024-04-14,0.017809832468628883,0.013391908258199692,-0.420560747385025,0.031443819403648376,6962.0,7151.0,6715.0,9212121.0,8916043.651995782,9508198.348004218
2024-04-15,0.01637990167364478,0.006517870308016427,-0.20829729596152902,0.059790145605802536,5587.5,5680.5,5121.5,9445454.416666668,8956614.044751368,9934294.788581965
2024-04-16,0.014949970878660679,-0.00035616764216683805,0.003966155461966991,0.0881364718079567,4213.0,4210.0,3528.0,9678787.833333334,8997184.437506955,10360391.229159713
