date,GMT_0000_PAR,GMT_0300_PAR,GMT_0600_PAR,GMT_0900_PAR,GMT_1200_PAR,GMT_1500_PAR,GMT_1800_PAR,GMT_2100_PAR,DAPAR,PDVI,MPAR,APAR,PPDI,PAI,density_mean,density_lower,density_upper
2023-08-31,35.07566833496094,86.82332611083984,104.94699096679688,22.54754638671875,0.0,0.0,0.0,0.0,249.3935317993164,104946990.96679688,9.155493842230904,0.0,0.375,-0.9999999959902729,18066666.666666668,16795769.590669647,19337563.74266369
2023-09-01,194.55845642089844,408.8863830566406,324.98223876953125,72.65719604492188,0.0,0.0,0.0,0.0,1001.0842742919922,408886383.0566406,37.358798556857636,0.0,0.375,-0.999999999001083,20720000.0,17686492.353726465,23753507.646273535
2023-09-02,166.26210021972656,381.2062072753906,349.980712890625,82.46813201904297,0.0,0.0,0.0,0.0,979.9171524047852,381206207.2753906,33.19311947292752,0.0,0.375,-0.9999999989795055,26083333.333333332,22307626.223694425,29859040.44297224
2023-09-03,150.84359741210938,355.1409606933594,372.02703857421875,98.81144714355469,0.0,0.0,0.0,0.0,976.8230438232422,372027038.57421875,30.357287936740452,0.0,0.375,-0.9999999989762731,29875000.0,25600750.4752296,34149249.5247704
2023-09-04,149.99151611328125,284.7843322753906,184.2155303955078,37.9582405090332,0.0,0.0,0.0,0.0,656.9496192932129,284784332.2753906,27.425121307373047,0.0,0.375,-0.9999999984778133,34233333.333333336,26115893.430397324,42350773.23626935
2023-09-05,50.0379638671875,126.69412994384766,175.52294921875,35.713497161865234,0.0,0.0,0.0,0.0,387.9685401916504,175522949.21875,15.534383561876085,0.0,0.375,-0.9999999974224715,27950000.0,26437917.903463352,29462082.096536648
2023-09-06,147.19566345214844,354.7318115234375,290.22802734375,60.05535125732422,0.0,0.0,0.0,0.0,852.2108535766602,354731811.5234375,32.74182891845703,0.0,0.375,-0.9999999988265815,30533333.333333332,27469764.23105337,33596902.43561329
2023-09-07,137.23207092285156,340.3504333496094,279.9653015136719,56.24428176879883,0.0,0.0,0.0,0.0,813.7920875549316,340350433.3496094,31.567350175645615,0.0,0.375,-0.999999998771185,43600000.0,32018185.473194048,55181814.52680595
2023-09-08,148.8534698486328,352.3227233886719,291.86651611328125,59.101383209228516,0.0,0.0,0.0,0.0,852.1440925598145,352322723.3886719,32.58014890882704,0.0,0.375,-0.9999999988264896,28450000.0,25632890.606786218,31267109.393213782
2023-09-09,172.64566040039062,390.2167663574219,340.7498474121094,73.59770965576172,0.0,0.0,0.0,0.0,977.2099838256836,390216766.3574219,35.17989518907335,0.0,0.375,-0.9999999989766785,27016666.666666668,24295903.94680707,29737429.386526264
2023-09-10,176.06515502929688,393.5291442871094,363.151123046875,89.40454864501953,0.0,0.0,0.0,0.0,1022.1499710083008,393529144.2871094,33.79162173800998,0.0,0.375,-0.99999999902167,31066666.666666668,30176117.97188475,31957215.361448586
2023-09-11,87.85424041748047,228.84127807617188,236.6963653564453,44.76949691772461,0.0,0.0,0.0,0.0,598.1613807678223,236696365.3564453,21.3252076043023,0.0,0.375,-0.9999999983282104,26816666.666666668,24586846.604170345,29046486.72916299
