date,ndci,ndvi,evi,ndwi,fai,nrfi,b1,b2,b3,b4,b5,b6,b7,density_mean,density_lower,density_upper,FAI
2023-11-23,0.0208092480897903,-0.2350532412528991,0.5271859169006348,0.3238837718963623,-336.3417053222656,-0.078802689909935,1508.0,934.0,1694.0,1766.0,477.0,403.0,162.0,7216423.5,4129851.4535587705,10302995.546441227,-0.0981015226119725
2023-11-24,0.0418594069778919,-0.2034792751073837,1.1911473870277405,0.2491735890507698,-314.6095428466797,-0.0572812929749488,1509.0,1000.5,1562.0,1694.0,613.5,607.5,305.0,6419006.416666666,3337426.1088559786,9500586.724477354,-0.08522410989342812
2023-11-25,0.0629095658659935,-0.1719053089618683,1.8551088571548464,0.1744634062051773,-292.8773803710937,-0.0357598960399627,1510.0,1067.0,1430.0,1622.0,750.0,812.0,448.0,5621589.333333333,2545000.764153186,8698177.90251348,-0.0736461962171923
2023-11-26,0.005126304924488,-0.0046168053522706,0.0558201856911182,0.0509554147720336,455.1607971191406,0.0014113027136772,8160.0,8085.0,8054.0,8137.0,7301.0,5695.0,3408.0,6409181.0,2633569.815838571,10184792.184161428,0.014680631587451072
2023-11-27,0.0087602864950895,-0.2247109860181808,0.5637121796607971,0.2520419955253601,-385.4170837402344,-0.0570236444473266,1695.0,1073.0,1867.0,1900.0,641.0,595.0,332.0,5668324.066666666,2078178.2078472865,9258469.925486049,-0.10168396880830498
2023-11-28,0.098746083676815,-0.2918552160263061,1.1256544589996338,0.3333333432674408,-336.62713623046875,-0.102201260626316,1142.0,626.0,1150.0,1402.0,313.0,308.0,136.0,9067737.0,8687901.30136618,9447572.69863382,-0.14820582834221788
2023-11-29,0.0873949602246284,-0.3495838344097137,1.867852568626404,0.3133253157138824,-388.8402099609375,-0.0654590353369712,1135.0,547.0,1086.0,1294.0,286.0,209.0,152.0,8900948.0,8747478.72521679,9054417.27478321,-0.20531458764698987
2023-11-30,0.1037093102931976,-0.2660903036594391,6.690821170806885,0.2596867382526397,-350.5386962890625,-0.0504322759807109,1318.0,764.0,1184.0,1458.0,449.0,372.0,180.0,11220000.0,10273094.809392195,12166905.190607805,-0.13645585586954703
2023-12-01,0.07425140566192565,-0.1980422604829073,5.006822487339377,0.20324690174311394,-161.56558227539062,-0.03745206279563713,2922.75,2531.0,2871.75,3022.0,2166.25,1852.5,1163.5,10540024.416666666,9682802.39052711,11397246.442806222,-0.023093793637730824
2023-12-02,0.0447935010306537,-0.12999421730637553,3.32282380387187,0.14680706523358816,27.40753173828125,-0.02447184961056335,4527.5,4298.0,4559.5,4586.0,3883.5,3333.0,2147.0,9860048.833333332,9092509.971662026,10627587.695004638,0.00024709796784171096
2023-12-03,0.015335596399381757,-0.06194617412984377,1.6388251204043627,0.09036722872406239,216.38064575195312,-0.011491636425489574,6132.25,6065.0,6247.25,6150.0,5600.75,4813.5,3130.5,9180073.25,8502217.552796943,9857928.947203057,0.01032070877482998
2023-12-04,-0.0141223082318902,0.006101869046688,-0.0451735630631446,0.0339273922145366,405.353759765625,0.0014885767595842,7737.0,7832.0,7935.0,7714.0,7318.0,6294.0,4114.0,8500097.666666666,7911925.133931858,9088270.199401474,0.015935553613086004
2023-12-05,0.0484944018535316,-0.0678228549659252,-0.3728746958076954,0.0821810867637395,166.99245834350586,0.006333282275591,4162.5,4137.0,4197.5,4144.5,3829.0,3267.5,2136.0,8695945.833333332,7958905.551819673,9432986.114846991,0.011546830192567713
2023-12-06,0.1111111119389534,-0.1417475789785385,-0.7005758285522461,0.1304347813129425,-71.36884307861328,0.0111779877915978,588.0,442.0,460.0,575.0,340.0,241.0,158.0,8891794.0,8005885.969707487,9777702.030292513,-0.06037750679733755
2023-12-07,0.0701238534723719,-0.08781362076600394,-0.5268729130427042,0.09597982838749883,70.40703837076822,0.008948101972540166,2257.0,2236.0,2199.333333333333,2231.666666666667,2065.666666666667,1832.0,1379.3333333333333,9514644.888888888,8455903.53902567,10573386.238752108,0.010807797072596454
2023-12-08,0.029136595005790397,-0.03387966255346937,-0.3531699975331624,0.061524875462055165,212.18291982014972,0.006718216153482533,3926.0,4030.0,3938.6666666666665,3888.3333333333335,3791.3333333333335,3423.0,2600.6666666666665,10137495.777777778,8905921.108343853,11369070.447211701,0.019277075656514132
